county,provider,contract_plan,plan_category,dental_notes,dental_scorecard,dental_scorecard_notes,vision_coverage,hearing_aid_coverage,pers_coverage,meals_benefit_structure,worldwide_benefit_structure ,other_benefits,additional_notes,optional_supplemental_benefit_package
AL: Birmingham,"UnitedHealth Group, Inc.",H0432 - 009 - 000,D-SNP HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak,Both of Devoted's DSNP plans in zip code 35242 have a $5000 max with no coinsurance. The only difference is that UHC has implant coverage,1 pair of standard lenses and frames every year OR Contact lenses instead of lenses and frames every year,"2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan.",$0 button wrist/pendant; covers the subscription ,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,N/A,"Y -- Optional Supplemental Benefits available for purchase; The Platinum Dental Rider is an optional supplemental benefit package that can be purchased to replace any dental benefits that may already be offered within your Medicare Advantage plan. The Platinum Dental Rider cannot be combined with any other dental benefits that may be included in your plan. It is offered to you for a monthly premium of $52.00. This is in addition to any plan premium you may have for your Medicare Advantage plan. Annual Maximum: $1,500"
AL: Birmingham,"UnitedHealth Group, Inc.",H2802 - 044 - 000,D-SNP HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members.  No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak,Both of Devoted's DSNP plans in zip code 35242 have a $5000 max with no coinsurance. The only difference is that UHC has implant coverage,"1 pair of standard lenses and frames every year.Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses. 
Contact lenses instead of lenses and frames every year
",Hearing aid accessories are available for purchase. 2 aids/year,$0 button wrist/pendant; Lifeline will provide a one-time replacement help button at no cost. Additional help button replacements may incur a charge,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,,
AL: Birmingham,"Triton Health Systems, LLC",H0154 - 012 - 000,D-SNP HMO,This is an allowance so there are not restrictions on who their members can see and which procedures they have done.,Weak,"Devoted's DSNP plan has a $5,000 max so it easily beats this VIVA plan with a $2,250 allowance.","$200 toward prescription
eyewear (glasses, contacts,
lenses, frames and upgrades)
once per calendar year. If you
pay for prescription eyewear
out-of-pocket, a request for
reimbursement, including a
copy of your receipt showing
proof of payment, should be
filed with our plan."," 3 follow-up visits within first
year of initial fitting date
 60-day trial period from date of
fitting
 60 batteries per hearing aid (3-
year supply)
 3-year manufacturer repair
warranty
 1-time replacement for lost,
stolen or damaged hearing aids
during the 3-year manufacturer warranty (a replacement fee that
is based on the type of device
being replaced applies)  
First set of ear molds (when
needed)",NC,N/A,"$50,000
annual coverage limit for emergent
care received outside the United
States and its territories.",N/A,"Some items, including OTC
vitamin and mineral
supplements, require your
doctor’s recommendation for a
specific diagnosed condition.OTC also covers elastic stockings, ace
bandages, incontinence supplies,",
AL: Birmingham,"UnitedHealth Group, Inc.",H2802 - 041 - 000,Zero MAPD HMO,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak, Devoted's CORE plan in zip code 35242 has a $4000 max with no coinsurance. The only difference is that UHC has implant coverage,"1 pair of standard lenses and frames every year; Plan pays up to $200 toward
your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost).",Hearing aid accessories are available for purchase. 2 aids/year,$0 button wrist/pendant; covers the subscription as well,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,,
AL: Birmingham,"Triton Health Systems, LLC",H0154 - 015 - 001,Zero MAPD HMO,"As far as I can tell, VIVA has their own dental network. Codes not provided. This is an allowance so there isn't any coinsurance. Not sure if implants or perio surgery is covered.",Weak,Devoted's CORE plan in zip code 35242 has a $4000 max with no coinsurance. and this plan only has a $1000 allowance so there is no comparison.,"$100 toward prescription eyewear (glasses, contacts,
lenses, frames and upgrades) once per calendar year."," 3 follow-up visits within first
year of initial fitting date
 60-day trial period from date of
fitting
 60 batteries per hearing aid (3-
year supply)
 3-year manufacturer repair
warranty
 1-time replacement for lost,
stolen or damaged hearing aids
during the 3-year manufacturer warranty (a replacement fee that
is based on the type of device
being replaced applies)  
First set of ear molds (when
needed)",NC,N/A,"$50,000
annual coverage limit for emergent
care received outside the United
States and its territories.",N/A,,
AL: Birmingham,"UnitedHealth Group, Inc.",H0432 - 010 - 000,Zero MAPD HMO,This max is much lower than other UHC plans. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak," Devoted's CORE plan in zip code 35242 has a $4000 max with no coinsurance. The only difference is that UHC has implant coverage but with a $1,500 max, this doesn't mean much.","1 pair of standard lenses and frames every year; Plan pays up to $200 toward
your purchase of frames (with
standard lenses covered in full)
or contact lenses (fitting and
evaluation may be an additional
cost).","This benefit is
limited to 2 hearing aids every year. Hearing aid accessories
and optional services are available for purchase, but they
are not covered by the plan",$0 button wrist/pendant; covers the subscription as well,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",NC,N/A,,
AL: Birmingham,BlueCross BlueShield of Alabama,H0104 - 014 - 000,Zero MAPD PPO,"I was able to locate the EOC for 2023 Blue Advantage PPO H0104. From what I've noticed when looking at competitor's EOCs, the dental benefit is almost always the same when there's little separation between the last 3 H numbers (014, 012) so it's likely that H0104-014 and H0104-012 have the same plan design.There isn't much in the EOC but they do mention a $1,000 allowance and how most comprehensive services are covered except for dental implants.",Weak,"Devoted's PPO plan in Alabama markets has a $3000 max with no coinsurance. This plan offers a $1,000 allowance so Devoted clearly wins.",,,,,,,,
AL: Birmingham,BlueCross BlueShield of Alabama,H0104 - 012 - 000,Zero MAPD PPO,"I was able to locate the EOC for 2023 Blue Advantage PPO H0104. From what I've noticed when looking at competitor's EOCs, the dental benefit is almost always the same when there's little separation between the last 3 H numbers (014, 012) so it's likely that H0104-014 and H0104-012 have the same plan design.There isn't much in the EOC but they do mention a $1,000 allowance and how most comprehensive services are covered except for dental implants.",Weak,"Devoted's PPO plan in Alabama markets has a $3000 max with no coinsurance. This plan offers a $1,000 allowance so Devoted clearly wins.",,,,,,,,
AL: Birmingham,"UnitedHealth Group, Inc.",H6528 - 033 - 000,Zero MAPD PPO,This max is much lower than other UHC plans. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,Weak," Devoted's PPO plan in Alabama markets has a $3000 max with no coinsurance. Even though Devoted has 50% OON coinsurance for comp procedures, and UHC doesn't have coinsurance for OON care, Devoted's plan is still stronger. Note: UHC implant coverage doesn't mean much since the max is only $1,000.","1 pair of standard lenses and frames every year.Standard lenses that are covered in full include single vision,
lined bifocal, lined trifocal, lenticular, and Tier I (standard)
progressive lenses. 
Contact lenses instead of lenses and frames every year
(fitting and evaluation may be an additional cost.)","you can choose from a broad selection
of name-brand hearing aids, or
UnitedHealthcare Hearing’s brand
RelateTM, custom-programmed for your
hearing loss. This
benefit is limited to 2 hearing aids
every year. Hearing aid accessories
and optional services are available for
purchase, but they are not covered by
the plan.",$0 button wrist/pendant; covers the subscription as well,"28 home-delivered meals up to 14 days. This benefit can be used immediately
following an inpatient hospital or
skilled nursing facility (SNF) stay if
recommended by a provider.",UNK,N/A,,
AL: Huntsville,CIGNA,H4513 - 055 - 000,D-SNP HMO,No access to procedure codes and EOC says that member can be reimbursed for 'selected' reimbursement procedures so unsure which codes are covered but I'm guessing most comprehensive codes are covered. This is an allowance so there isn't any coinsurance. Member can see any licensed dentist.,Weak,"Devoted's DSNP plan has a $5000 max compared to this Cigna plan with a $2500 max. Even if Cigna covered implants in this market (they probably don't), the Devoted plan is much better.","– up to one non-Medicare-covered
routine eye exam every year (routine
eye exam does not include a contact
lens fitting)
$0 copayment up to the eyewear
allowance for:
– up to one pair of eyeglasses
(lenses and frames) every year
– unlimited contact lenses up to plan
coverage limit
– up to one pair of eyeglass lenses
every year
– up to one eyeglass frame every
year
– upgrades

$300 allowance for non-Medicare-
covered eyewear every year.","Hearing aid devices are limited to those worn externally and do not include
assisted listening devices, amplifiers or disposable devices.A 60-day evaluation period is granted to
determine the effectiveness of a hearing aid. A 4-year supply of batteries (up to 256 cells per hearing aid) ",N/A,"14 healthy frozen meals delivered to their home. This benefit is available up to three
(3) times each year. $0 copayment for 56 meals over 28
days, once each year for ESRD
members","$110 copayment for worldwide
emergency/urgent coverage and
worldwide emergency transportation
$50,000 (USD) combined limit per year
for emergency and urgent care
services provided outside the U.S. and
its territories.",,MDLIVE Telehealth Provider,
