County,Provider,CONTRACT_PLAN,PLAN_CATEGORY,Medicaid Coverage Categories (For D-SNP plans only),Enrolls All Duals (Y/N),"Types of Chronic Conditions (C-SNP only) (Diabetes, Coronary Artery Diseases, Cardiovascular Disorders, COPD, ESRD)",VBID (Y/N),Annual Max ,Annual Max - Shared Allowance (Y/N),Bridges Coinsurance,Crowns Coinsurance,Implant Coinsurance,Root Canal Coinsurance,Denture Coinsurance,Periodontal Surgery Coinsurance,"Dental Vendor Name (Vendor, Card Based, Allowance)",Optional Supplemental Benefit (Y/N),"Benefit Structure: Vendor, Non-vendor, Card-Based, Allowance","Out-of-Network Cost Share (Identical, Different)",Preventative Only (Y/N),Preventative and Comprehensive (Y/N),Implant Coverage (Y/N),Root Canal Coverage (Y/N),Denture Coverage (Y/N),Periodontal Surgery Coverage (Y/N),Crowns (Y/N),Bridges (Y/N),"Dental Score Card (Weak, Same or Strong) compared to Devoted plan design.  I will compare apples to apples (i.e. PPO vs PPO, 0 HMO vs 0 HMO) and will be comparing the overall dental plan design. ",Healthy Food Card Vendor,Healthy Food Card Amount,Healthy Food Card Benefit Structure (Monthly/Quarterly),Healthy Food Rollover,OTC Vendor,OTC Benefit Structure (Monthly/Quarterly),OTC - Retail (Y/N),OTC - Catalog (Y/N),OTC- Online (Y/N) ,OTC- Over-the-phone (Y/N) ,OTC Rollover (Y/N),Utilities Vendor,Utilities Benefit Structure (Monthly/Quarterly),Covered Utilities ,Utilities Rollover,Combined/Shared Benefit (Y/N) ,Additional Flex Card Benefit ,Additional Supplemental Benefit Choice (Use this row for if a member MUST choose a benefit at the time of enrollment),Routine Acupuncture Vendor,"Routine Acupuncture Benefit Structure (# of Visit /Timeframe, Coverage)",Medicare Covered Acupuncture Vendor,Therapeutic Massage Vendor,"Therapeutic Massage Benefit Structure (# of Visits/Timeframe, Coverage)",Routine Chiropractor Vendor,"Routine Chiropractor Benefit Structure (# of Visits/Timeframe, Coverage)",Vision Vendor,Fitness Vendor,Wearable Device (Fitness),Grocery Delivery,Hearing Aid Vendor,Nemt Vendor,Nemt Oneway Trip Limit,Nemt Distance (Max Mileage),In Home/ Bathroom Safety Devices (Y/N),In-Home Support Services/Personal Home Care Vendor,In-Home Support Services/Personal Home Care Benefit Structure ,PERS Vendor,PERS Coverage,Meals Vendor,Wig Chemo,Caregiver Support ,Worldwide Benefit Structure ,Companion Services ,Behavioral Health Vendor,DME Vendor,Nurse Line Vendor,Nurse Line 24/7 (Y/N)
AL: Birmingham,"UnitedHealth Group, Inc.",H0432 - 009 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,"$3,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,Solutran,$150 Shared ,Monthly,N,Solutran,Monthly,Y,Y,Y,Y,N,Solutran,Monthly,"Electricity, gas, water and internet",N,"Y (Food, OTC, Utility) ",N,N/A,NC,N/A,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,SafeRide,48 one-way trips/year,50 miles,N,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription ,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Birmingham,"UnitedHealth Group, Inc.",H2802 - 044 - 000,D-SNP HMO,"QMB+, QMB, QDWI, QI, SLMB+, SLMB, FBDE",Y,,Y,"$2,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,Solutran,$125,Per Month ,N,Solutran,Monthly,Y,Y,Y,Y,N,Solutran,Monthly,"Electricity, gas, water and internet ",N,"Y (Food, OTC, Utility) ",N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,SafeRide,36 one-way trips/yr,50 miles,NC,NC,NC,Lifeline,$0 button wrist/pendant; Lifeline will provide a one-time replacement help button at no cost. Additional help button replacements may incur a charge,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Birmingham,"Triton Health Systems, LLC",H0154 - 012 - 000,D-SNP HMO,"QMB+, QMB, QDWI, QI, SLMB+, SLMB, FBDE",Y,,Y,"$2,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Any licensed dentist,,Allowance,Identical,N,Y,Y,Y,Y,Y,Y,Y,Weak,Nations Benefits,$30,Per Month,"Y, one month will carry over to the next month only within the same calendar quarter",Nations Benefits,Quarterly,N,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UNK,Silver&Fit®,"Home Fitness Kit options include Fitbit, Garmin, Swin and Strength Kit ",NC,Nations Hearing,MTA,12 round trips or 24 one-way rides. ,60 miles,NC,NC,NC,NC,NC,NC,NC,NC,"$50,000
annual coverage limit for emergent
care received outside the United
States and its territories.",NC,UNK,UNK,Viva Health Contractor,Y
AL: Birmingham,"UnitedHealth Group, Inc.",H2802 - 041 - 000,Zero MAPD HMO,,,,N,"$2,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly,Y ,Y,Y ,Y ,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,SafeRide,24 one-way trips/yr,50 miles,NC,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription as well,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Birmingham,"Triton Health Systems, LLC",H0154 - 015 - 001,Zero MAPD HMO,,,,,"$1,000",Y,0%,0%,N/A?,0%,0%,N/A?,VIVA dental network,,Allowance,Identical,N,Y,N?,Y,Y,N?,Y,Y,Weak,NC,N/A,N/A,N/A,Nations Benefits,Quarterly,N,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UNK,Silver&Fit®,"Home Fitness Kit options include Fitbit, Garmin, Swin and Strength Kit ",NC,Nations Hearing,NC,N/A,N/A,NC,NC,NC,NC,NC,N/C,NC,NC,"$50,000
annual coverage limit for emergent
care received outside the United
States and its territories.",NC,UNK,UNK,Viva Health Contractor,Y
AL: Birmingham,"UnitedHealth Group, Inc.",H0432 - 010 - 000,Zero MAPD HMO,,,,Y,"$1,500",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,SafeRide,24 one-way trips/yr,50 miles,NC,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription as well,Mom’s Meals®,NC,NC,NC,NC,UNK,UNK,NurseLine,Y
AL: Birmingham,BlueCross BlueShield of Alabama,H0104 - 014 - 000,Zero MAPD PPO,,,,,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,?,,Allowance,N/A,N,Y,N,Y,Y,N?,Y,Y,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL: Birmingham,BlueCross BlueShield of Alabama,H0104 - 012 - 000,Zero MAPD PPO,,,,,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,?,,Allowance,N/A,N,Y,N,Y,Y,N?,Y,Y,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL: Birmingham,"UnitedHealth Group, Inc.",H6528 - 033 - 000,Zero MAPD PPO,,,,,"$1,000",Y,0%,0%,0%,0%,0%,N/A,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N,Y,Y,Weak,NC,N/A,N/A,N/A,N/C,N/A,N/A,N/A,N/A,N/A,N/A,NC,N/A,N/A,N/A,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision®,Renew Active®,NC,Discounted meal delivery covered under fitness benefit,UnitedHealthcare Hearing,NC,N/A,N/A,N,NC,NC,Lifeline,$0 button wrist/pendant; covers the subscription as well,Mom’s Meals®,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
AL: Huntsville,CIGNA,H4513 - 055 - 000,D-SNP HMO,"QMB, QMB+, SLMB, SLMB+, QI, QDWI, FBDE",Y,,Y,"$2,500",Y,0%,0%,?,0%,0%,?,Any licensed dentist,,Allowance,Identical,N,Y,N?,Y,Y,N?,Y,Y,Weak,UNK,$75,Monthly ,N,UNK,Quarterly,Y,Y,Y,Y,N,NC,N/A,N/A,N/A,Y (Food and OTC on one Cigna Healthy Today Card),N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,Silver&Fit® & Healthwise ,"Home Fitness Kit options include Fitbit, Garmin, Swin and Strength Kit ",NC,Hearing Care Solutions,Access2Care,Unlimited one-way trips to plan-approved locations every year,60 miles,N,NC,NC,NC,N/A,UNK,NC,NC,"$110 copayment for worldwide
emergency/urgent coverage and
worldwide emergency transportation
$50,000 (USD) combined limit per year
for emergency and urgent care
services provided outside the U.S. and
its territories.",NC,UNK,UNK,UNK,"Y (Cigna's 24-Hour Health Information Line, offers a Health and wellness education program "
