,county,provider,contract_plan,dental_notes,Implant Coverage (Y/N),Root Canal Coverage (Y/N),Healthy Food Rollover,OTC Rollover (Y/N),Dental Summary,actual_tokens,gpt_tokens,bleu_score,bleu_score_rounded,cos_sim
0,AL: Birmingham,"UnitedHealth Group, Inc.",H0432009000,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous. The plan has a high annual maximum coverage of $3,000 for dental services, and the member cost share is $0 copayment for each Medicare-covered visit. The plan covers a wide range of dental services and procedures, including periodontal surgery and dental implants. In-network dental services have a $0 copayment, indicating a generous coverage.","['This', 'is', 'a', 'well', 'rounded', 'comprehensive', 'plan.', '0%', 'cost', 'share', 'for', 'both', 'IN', 'and', 'OON', 'care', 'even', 'though', 'OON', 'care', 'will', 'be', 'more', 'expensive', 'for', 'their', 'members.', 'No', 'periodontal', 'surgery', 'coverage', '-', 'only', 'deep', 'cleanings', 'and', 'perio', 'maintenance.', 'No', 'coverage', 'for', 'D##99', 'unspecified', 'codes.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'health', ""plan's"", 'dental', 'benefits', 'can', 'be', 'considered', 'generous.', 'The', 'plan', 'has', 'a', 'high', 'annual', 'maximum', 'coverage', 'of', '$3,000', 'for', 'dental', 'services,', 'and', 'the', 'member', 'cost', 'share', 'is', '$0', 'copayment', 'for', 'each', 'Medicare-covered', 'visit.', 'The', 'plan', 'covers', 'a', 'wide', 'range', 'of', 'dental', 'services', 'and', 'procedures,', 'including', 'periodontal', 'surgery', 'and', 'dental', 'implants.', 'In-network', 'dental', 'services', 'have', 'a', '$0', 'copayment,', 'indicating', 'a', 'generous', 'coverage.']",7.572636698440724e-232,0.0,0.5730678
1,AL: Birmingham,"UnitedHealth Group, Inc.",H2802044000,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members.  No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,1,1,0,0,"Based on the information provided, the UnitedHealthcare Dual Complete® Select (HMO-POS D-SNP) plan offers a dental coverage with an annual maximum of $2,000. The member cost share for dental benefits is not specified, but all covered dental services have a $0 copayment. The plan covers a wide range of dental services and procedures, including implants, but does not mention specific coverage for periodontal surgery. In-network dentists have agreed to provide services at a negotiated rate, while out-of-network dentists may charge more. Overall, the dental benefits offered by this plan can be considered generous based on the provided information.","['This', 'is', 'a', 'well', 'rounded', 'comprehensive', 'plan.', '0%', 'cost', 'share', 'for', 'both', 'IN', 'and', 'OON', 'care', 'even', 'though', 'OON', 'care', 'will', 'be', 'more', 'expensive', 'for', 'their', 'members.', 'No', 'periodontal', 'surgery', 'coverage', '-', 'only', 'deep', 'cleanings', 'and', 'perio', 'maintenance.', 'No', 'coverage', 'for', 'D##99', 'unspecified', 'codes.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'UnitedHealthcare', 'Dual', 'Complete®', 'Select', '(HMO-POS', 'D-SNP)', 'plan', 'offers', 'a', 'dental', 'coverage', 'with', 'an', 'annual', 'maximum', 'of', '$2,000.', 'The', 'member', 'cost', 'share', 'for', 'dental', 'benefits', 'is', 'not', 'specified,', 'but', 'all', 'covered', 'dental', 'services', 'have', 'a', '$0', 'copayment.', 'The', 'plan', 'covers', 'a', 'wide', 'range', 'of', 'dental', 'services', 'and', 'procedures,', 'including', 'implants,', 'but', 'does', 'not', 'mention', 'specific', 'coverage', 'for', 'periodontal', 'surgery.', 'In-network', 'dentists', 'have', 'agreed', 'to', 'provide', 'services', 'at', 'a', 'negotiated', 'rate,', 'while', 'out-of-network', 'dentists', 'may', 'charge', 'more.', 'Overall,', 'the', 'dental', 'benefits', 'offered', 'by', 'this', 'plan', 'can', 'be', 'considered', 'generous', 'based', 'on', 'the', 'provided', 'information.']",6.885877678021066e-232,0.0,0.61488867
2,AL: Huntsville,CIGNA,H4513055000,No access to procedure codes and EOC says that member can be reimbursed for 'selected' reimbursement procedures so unsure which codes are covered but I'm guessing most comprehensive codes are covered. This is an allowance so there isn't any coinsurance. Member can see any licensed dentist.,0,1,0,0,"Based on the lack of information in the subreports, it is not possible to determine the annual maximum for dental coverage, the member cost share for dental benefits, the dental services and procedures covered by the plan, whether periodontal surgery and dental implants are covered, or the member's cost for in-network vs. out-of-network dental services. Therefore, it cannot be determined if the health plan's dental benefits are considered generous.","['No', 'access', 'to', 'procedure', 'codes', 'and', 'EOC', 'says', 'that', 'member', 'can', 'be', 'reimbursed', 'for', ""'selected'"", 'reimbursement', 'procedures', 'so', 'unsure', 'which', 'codes', 'are', 'covered', 'but', ""I'm"", 'guessing', 'most', 'comprehensive', 'codes', 'are', 'covered.', 'This', 'is', 'an', 'allowance', 'so', 'there', ""isn't"", 'any', 'coinsurance.', 'Member', 'can', 'see', 'any', 'licensed', 'dentist.']","['Based', 'on', 'the', 'lack', 'of', 'information', 'in', 'the', 'subreports,', 'it', 'is', 'not', 'possible', 'to', 'determine', 'the', 'annual', 'maximum', 'for', 'dental', 'coverage,', 'the', 'member', 'cost', 'share', 'for', 'dental', 'benefits,', 'the', 'dental', 'services', 'and', 'procedures', 'covered', 'by', 'the', 'plan,', 'whether', 'periodontal', 'surgery', 'and', 'dental', 'implants', 'are', 'covered,', 'or', 'the', ""member's"", 'cost', 'for', 'in-network', 'vs.', 'out-of-network', 'dental', 'services.', 'Therefore,', 'it', 'cannot', 'be', 'determined', 'if', 'the', 'health', ""plan's"", 'dental', 'benefits', 'are', 'considered', 'generous.']",0.0,0.0,0.5421947
3,AL: Huntsville,Humana Inc.,H5619093000,This is a very comprehensive plan and covers some codes that we should think about covering in the 2024 plan such as gingival grafts and cone beam radiographs. The Humana plan does not cover implants event though they cover procedures that are usually used for implants such as cone beam radiographs. They cover periodontal surgery like Devoted does. ,0,1,1,1,"Based on the information provided, it is not possible to determine whether the health plan's dental benefits are considered generous.","['This', 'is', 'a', 'very', 'comprehensive', 'plan', 'and', 'covers', 'some', 'codes', 'that', 'we', 'should', 'think', 'about', 'covering', 'in', 'the', '2024', 'plan', 'such', 'as', 'gingival', 'grafts', 'and', 'cone', 'beam', 'radiographs.', 'The', 'Humana', 'plan', 'does', 'not', 'cover', 'implants', 'event', 'though', 'they', 'cover', 'procedures', 'that', 'are', 'usually', 'used', 'for', 'implants', 'such', 'as', 'cone', 'beam', 'radiographs.', 'They', 'cover', 'periodontal', 'surgery', 'like', 'Devoted', 'does.']","['Based', 'on', 'the', 'information', 'provided,', 'it', 'is', 'not', 'possible', 'to', 'determine', 'whether', 'the', 'health', ""plan's"", 'dental', 'benefits', 'are', 'considered', 'generous.']",0.0,0.0,0.33663982
5,AL: Huntsville,CVS Health Corporation,H3239002000,"Aetna's plan is comprehensive but in the EOC, it says that out-of-network treatment is not covered. Unsure if implants and periodontal surgery is covered.",0,1,0,0,"Based on the information provided, the dental benefits covered by the health plan are not specified in the coverage documents. Therefore, it is not possible to determine the annual maximum for dental coverage, member cost share for dental benefits, coverage for periodontal surgery and dental implants, or the member cost in-network vs. out of network. Without this information, it is not possible to determine if the health plan's dental benefits are considered generous.","[""Aetna's"", 'plan', 'is', 'comprehensive', 'but', 'in', 'the', 'EOC,', 'it', 'says', 'that', 'out-of-network', 'treatment', 'is', 'not', 'covered.', 'Unsure', 'if', 'implants', 'and', 'periodontal', 'surgery', 'is', 'covered.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'dental', 'benefits', 'covered', 'by', 'the', 'health', 'plan', 'are', 'not', 'specified', 'in', 'the', 'coverage', 'documents.', 'Therefore,', 'it', 'is', 'not', 'possible', 'to', 'determine', 'the', 'annual', 'maximum', 'for', 'dental', 'coverage,', 'member', 'cost', 'share', 'for', 'dental', 'benefits,', 'coverage', 'for', 'periodontal', 'surgery', 'and', 'dental', 'implants,', 'or', 'the', 'member', 'cost', 'in-network', 'vs.', 'out', 'of', 'network.', 'Without', 'this', 'information,', 'it', 'is', 'not', 'possible', 'to', 'determine', 'if', 'the', 'health', ""plan's"", 'dental', 'benefits', 'are', 'considered', 'generous.']",0.0,0.0,0.5093169
6,AL: Huntsville,"UnitedHealth Group, Inc.",H0432009000,This is a well rounded comprehensive plan. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous in terms of the annual maximum for dental coverage and coverage for periodontal surgery and dental implants. However, without information on the member cost share for dental benefits and the cost for out-of-network dental services, it is difficult to determine if the plan's dental benefits are overall generous.","['This', 'is', 'a', 'well', 'rounded', 'comprehensive', 'plan.', '0%', 'cost', 'share', 'for', 'both', 'IN', 'and', 'OON', 'care', 'even', 'though', 'OON', 'care', 'will', 'be', 'more', 'expensive', 'for', 'their', 'members.', 'No', 'periodontal', 'surgery', 'coverage', '-', 'only', 'deep', 'cleanings', 'and', 'perio', 'maintenance.', 'No', 'coverage', 'for', 'D##99', 'unspecified', 'codes.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'health', ""plan's"", 'dental', 'benefits', 'can', 'be', 'considered', 'generous', 'in', 'terms', 'of', 'the', 'annual', 'maximum', 'for', 'dental', 'coverage', 'and', 'coverage', 'for', 'periodontal', 'surgery', 'and', 'dental', 'implants.', 'However,', 'without', 'information', 'on', 'the', 'member', 'cost', 'share', 'for', 'dental', 'benefits', 'and', 'the', 'cost', 'for', 'out-of-network', 'dental', 'services,', 'it', 'is', 'difficult', 'to', 'determine', 'if', 'the', ""plan's"", 'dental', 'benefits', 'are', 'overall', 'generous.']",0.0,0.0,0.578462
7,AL: Huntsville,CVS Health Corporation,H5521227000,"This is a comprehensive plan, no coinsurance for IN or OON unlike some other Aetna PPO plans that have 20% cosinsurance for OON care. No codes so difficult to know if implants or perio surgery is covered.",0,1,0,0,"The health plan's dental benefits are not considered generous as there is no information available regarding the annual maximum, member cost share, covered services and procedures, coverage for periodontal surgery and dental implants, and member payment for in-network vs. out-of-network dental services.","['This', 'is', 'a', 'comprehensive', 'plan,', 'no', 'coinsurance', 'for', 'IN', 'or', 'OON', 'unlike', 'some', 'other', 'Aetna', 'PPO', 'plans', 'that', 'have', '20%', 'cosinsurance', 'for', 'OON', 'care.', 'No', 'codes', 'so', 'difficult', 'to', 'know', 'if', 'implants', 'or', 'perio', 'surgery', 'is', 'covered.']","['The', 'health', ""plan's"", 'dental', 'benefits', 'are', 'not', 'considered', 'generous', 'as', 'there', 'is', 'no', 'information', 'available', 'regarding', 'the', 'annual', 'maximum,', 'member', 'cost', 'share,', 'covered', 'services', 'and', 'procedures,', 'coverage', 'for', 'periodontal', 'surgery', 'and', 'dental', 'implants,', 'and', 'member', 'payment', 'for', 'in-network', 'vs.', 'out-of-network', 'dental', 'services.']",0.0,0.0,0.4933863
8,AL: Huntsville,Humana Inc.,H5216214001,"This plan only covers preventive and diagnostic and fillings. 0% coinsurance for IN and OON. Also, $25 copay for each filling",0,0,0,0,"Based on the information provided, the dental benefits of the HumanaChoice H5216-214 (PPO) plan can be considered generous. While the annual maximum for dental coverage is not specified, the member cost share for preventive services is $0 in-network and out-of-network. The plan covers a wide range of dental services, including exams, cleanings, x-rays, fillings, and more. However, coverage for periodontal surgery and dental implants is not explicitly mentioned. The member's cost for in-network vs. out-of-network care may vary.","['This', 'plan', 'only', 'covers', 'preventive', 'and', 'diagnostic', 'and', 'fillings.', '0%', 'coinsurance', 'for', 'IN', 'and', 'OON.', 'Also,', '$25', 'copay', 'for', 'each', 'filling']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'dental', 'benefits', 'of', 'the', 'HumanaChoice', 'H5216-214', '(PPO)', 'plan', 'can', 'be', 'considered', 'generous.', 'While', 'the', 'annual', 'maximum', 'for', 'dental', 'coverage', 'is', 'not', 'specified,', 'the', 'member', 'cost', 'share', 'for', 'preventive', 'services', 'is', '$0', 'in-network', 'and', 'out-of-network.', 'The', 'plan', 'covers', 'a', 'wide', 'range', 'of', 'dental', 'services,', 'including', 'exams,', 'cleanings,', 'x-rays,', 'fillings,', 'and', 'more.', 'However,', 'coverage', 'for', 'periodontal', 'surgery', 'and', 'dental', 'implants', 'is', 'not', 'explicitly', 'mentioned.', 'The', ""member's"", 'cost', 'for', 'in-network', 'vs.', 'out-of-network', 'care', 'may', 'vary.']",6.130341565759569e-232,0.0,0.5868463
9,AL: Huntsville,"UnitedHealth Group, Inc.",H6528033000,This max is much lower than other UHC plans. 0% cost share for both IN and OON care even though OON care will be more expensive for their members. No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous. The plan has a $1,000 annual maximum for dental coverage, which is higher than average. Additionally, all covered dental services have a $0 copayment, indicating a low member cost share. The plan covers a wide range of dental services and procedures, including dental implants. However, it is unclear whether periodontal surgery is covered. In-network dental services have a $0 copayment, providing additional cost savings for members.","['This', 'max', 'is', 'much', 'lower', 'than', 'other', 'UHC', 'plans.', '0%', 'cost', 'share', 'for', 'both', 'IN', 'and', 'OON', 'care', 'even', 'though', 'OON', 'care', 'will', 'be', 'more', 'expensive', 'for', 'their', 'members.', 'No', 'periodontal', 'surgery', 'coverage', '-', 'only', 'deep', 'cleanings', 'and', 'perio', 'maintenance.', 'No', 'coverage', 'for', 'D##99', 'unspecified', 'codes.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'health', ""plan's"", 'dental', 'benefits', 'can', 'be', 'considered', 'generous.', 'The', 'plan', 'has', 'a', '$1,000', 'annual', 'maximum', 'for', 'dental', 'coverage,', 'which', 'is', 'higher', 'than', 'average.', 'Additionally,', 'all', 'covered', 'dental', 'services', 'have', 'a', '$0', 'copayment,', 'indicating', 'a', 'low', 'member', 'cost', 'share.', 'The', 'plan', 'covers', 'a', 'wide', 'range', 'of', 'dental', 'services', 'and', 'procedures,', 'including', 'dental', 'implants.', 'However,', 'it', 'is', 'unclear', 'whether', 'periodontal', 'surgery', 'is', 'covered.', 'In-network', 'dental', 'services', 'have', 'a', '$0', 'copayment,', 'providing', 'additional', 'cost', 'savings', 'for', 'members.']",7.244248269687037e-232,0.0,0.54330206
10,AZ: Pima,"UnitedHealth Group, Inc.",H2228075000,"This UHC plan has a $1000 max and seems to cover most comprehensive procedures but it is a total bait and switch. Even though it's a 0% cost share for both IN and OON care compared to Devoted's 50% cost share for OON care, Devoted plan is way better with a $3000 max. Note: No periodontal surgery coverage - only deep cleanings and perio maintenance. No coverage for D##99 unspecified codes.",1,1,0,0,"Based on the information provided, the AARP Medicare Advantage Walgreens Plan 1 (PPO) offers generous dental benefits. The plan has an annual maximum of $1,000 for dental coverage, which is considered high. The member cost share for dental benefits is $0, indicating that the plan has a low coinsurance. The plan covers a wide range of dental services and procedures, including dental implants, which are considered generous benefits. However, it is not specified whether periodontal surgery is covered. In-network dental services have a negotiated rate, while out-of-network services may result in higher costs for the member.","['This', 'UHC', 'plan', 'has', 'a', '$1000', 'max', 'and', 'seems', 'to', 'cover', 'most', 'comprehensive', 'procedures', 'but', 'it', 'is', 'a', 'total', 'bait', 'and', 'switch.', 'Even', 'though', ""it's"", 'a', '0%', 'cost', 'share', 'for', 'both', 'IN', 'and', 'OON', 'care', 'compared', 'to', ""Devoted's"", '50%', 'cost', 'share', 'for', 'OON', 'care,', 'Devoted', 'plan', 'is', 'way', 'better', 'with', 'a', '$3000', 'max.', 'Note:', 'No', 'periodontal', 'surgery', 'coverage', '-', 'only', 'deep', 'cleanings', 'and', 'perio', 'maintenance.', 'No', 'coverage', 'for', 'D##99', 'unspecified', 'codes.']","['Based', 'on', 'the', 'information', 'provided,', 'the', 'AARP', 'Medicare', 'Advantage', 'Walgreens', 'Plan', '1', '(PPO)', 'offers', 'generous', 'dental', 'benefits.', 'The', 'plan', 'has', 'an', 'annual', 'maximum', 'of', '$1,000', 'for', 'dental', 'coverage,', 'which', 'is', 'considered', 'high.', 'The', 'member', 'cost', 'share', 'for', 'dental', 'benefits', 'is', '$0,', 'indicating', 'that', 'the', 'plan', 'has', 'a', 'low', 'coinsurance.', 'The', 'plan', 'covers', 'a', 'wide', 'range', 'of', 'dental', 'services', 'and', 'procedures,', 'including', 'dental', 'implants,', 'which', 'are', 'considered', 'generous', 'benefits.', 'However,', 'it', 'is', 'not', 'specified', 'whether', 'periodontal', 'surgery', 'is', 'covered.', 'In-network', 'dental', 'services', 'have', 'a', 'negotiated', 'rate,', 'while', 'out-of-network', 'services', 'may', 'result', 'in', 'higher', 'costs', 'for', 'the', 'member.']",7.659859945595747e-232,0.0,0.59878725
