County,Provider,contract_plan,Implant Coverage (Y/N),Root Canal Coverage (Y/N),Healthy Food Rollover,OTC Rollover (Y/N),Dental Summary
AL: Birmingham,"UnitedHealth Group, Inc.",H0432009000,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous. The plan has a high annual maximum coverage of $3,000 for dental services, and the member cost share is $0 copayment for each Medicare-covered visit. The plan covers a wide range of dental services and procedures, including periodontal surgery and dental implants. In-network dental services have a $0 copayment, indicating a generous coverage."
AL: Huntsville,"UnitedHealth Group, Inc.",H0432009000,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous in terms of the annual maximum for dental coverage and coverage for periodontal surgery and dental implants. However, without information on the member cost share for dental benefits and the cost for out-of-network dental services, it is difficult to determine if the plan's dental benefits are overall generous."
AL: Birmingham,"UnitedHealth Group, Inc.",H2802044000,1,1,0,0,"Based on the information provided, the UnitedHealthcare Dual Complete® Select (HMO-POS D-SNP) plan offers a dental coverage with an annual maximum of $2,000. The member cost share for dental benefits is not specified, but all covered dental services have a $0 copayment. The plan covers a wide range of dental services and procedures, including implants, but does not mention specific coverage for periodontal surgery. In-network dentists have agreed to provide services at a negotiated rate, while out-of-network dentists may charge more. Overall, the dental benefits offered by this plan can be considered generous based on the provided information."
AL: Huntsville,CIGNA,H4513055000,0,1,0,0,"Based on the lack of information in the subreports, it is not possible to determine the annual maximum for dental coverage, the member cost share for dental benefits, the dental services and procedures covered by the plan, whether periodontal surgery and dental implants are covered, or the member's cost for in-network vs. out-of-network dental services. Therefore, it cannot be determined if the health plan's dental benefits are considered generous."
AL: Huntsville,Humana Inc.,H5619093000,0,1,1,1,"Based on the information provided, it is not possible to determine whether the health plan's dental benefits are considered generous."
AL: Huntsville,Humana Inc.,H5619093000,0,1,1,1,"Based on the information provided, it is not possible to determine whether the health plan's dental benefits are considered generous."
AL: Huntsville,CVS Health Corporation,H3239002000,0,1,0,0,"Based on the information provided, the dental benefits covered by the health plan are not specified in the coverage documents. Therefore, it is not possible to determine the annual maximum for dental coverage, member cost share for dental benefits, coverage for periodontal surgery and dental implants, or the member cost in-network vs. out of network. Without this information, it is not possible to determine if the health plan's dental benefits are considered generous."
AL: Huntsville,CVS Health Corporation,H5521227000,0,1,0,0,"The health plan's dental benefits are not considered generous as there is no information available regarding the annual maximum, member cost share, covered services and procedures, coverage for periodontal surgery and dental implants, and member payment for in-network vs. out-of-network dental services."
AL: Huntsville,Humana Inc.,H5216214001,0,0,0,0,"Based on the information provided, the dental benefits of the HumanaChoice H5216-214 (PPO) plan can be considered generous. While the annual maximum for dental coverage is not specified, the member cost share for preventive services is $0 in-network and out-of-network. The plan covers a wide range of dental services, including exams, cleanings, x-rays, fillings, and more. However, coverage for periodontal surgery and dental implants is not explicitly mentioned. The member's cost for in-network vs. out-of-network care may vary."
AL: Huntsville,"UnitedHealth Group, Inc.",H6528033000,1,1,0,0,"Based on the information provided, the health plan's dental benefits can be considered generous. The plan has a $1,000 annual maximum for dental coverage, which is higher than average. Additionally, all covered dental services have a $0 copayment, indicating a low member cost share. The plan covers a wide range of dental services and procedures, including dental implants. However, it is unclear whether periodontal surgery is covered. In-network dental services have a $0 copayment, providing additional cost savings for members."
AZ: Pima,"UnitedHealth Group, Inc.",H2228075000,1,1,0,0,"Based on the information provided, the AARP Medicare Advantage Walgreens Plan 1 (PPO) offers generous dental benefits. The plan has an annual maximum of $1,000 for dental coverage, which is considered high. The member cost share for dental benefits is $0, indicating that the plan has a low coinsurance. The plan covers a wide range of dental services and procedures, including dental implants, which are considered generous benefits. However, it is not specified whether periodontal surgery is covered. In-network dental services have a negotiated rate, while out-of-network services may result in higher costs for the member."
AZ: Pima,CVS Health Corporation,H5521100000,0,1,0,0,"Based on the information provided in the subreports, there is no specific information about the health plan's dental benefits. Therefore, it is not possible to determine the annual maximum for dental coverage, member cost share for dental benefits, covered dental services and procedures, coverage for periodontal surgery and dental implants, or member cost for in-network vs. out-of-network dental services. As a result, it cannot be determined whether the health plan's dental benefits are considered generous."
AZ: Pima,Centene Corporation,H8553001000,0,1,0,0,"Based on the limited information available, it is not possible to determine if the health plan's dental benefits are considered generous."
AZ: Yavapai,Humana Inc.,H0028028000,0,0,0,0,"Based on the information provided, the dental benefits offered by the Humana Gold Plus H0028-028 (HMO) plan can be considered generous. The plan has a relatively high annual maximum of $2,000 for dental coverage, indicating a generous allowance for dental services. The member cost share (coinsurance) for dental benefits varies depending on the service, but the plan offers a low cost share of $25 per tooth for restorations and extractions, and 50% coinsurance for major procedures like root canals and crowns. The plan covers a wide range of dental services and procedures, including basic and major restorative work, oral surgery, and dentures. However, the coverage documents do not specify coverage for periodontal surgery or dental implants, so it is recommended to consult the plan details or contact Humana for more information on these specific benefits. In terms of in-network vs. out-of-network coverage, the member's cost share remains the same, but they may be billed by out-of-network providers for any amount exceeding the payment made by Humana. Overall, the dental benefits provided by the Humana Gold Plus H0028-028 (HMO) plan can be considered generous based on the available information."
